js-analytics-click href,photo-box-img src,user-display-name,user-location,friend-count 2,review-count,review-count 2,arrange href,icon_svg href 3,action-link_label,arrange href 2,action-link_label 2,arrange href 3,action-link_label 3,arrange href 4,action-link_label 4,arrange href 5,action-link_label 5,arrange href 6,action-link_label 6,offscreen src,rating-qualifier,review-content,voting-intro,js-review-feedback-voter-list,js-review-feedback-voter-list href,vote-type,count,vote-type 2,count 2,vote-type 3,u-space-b3,u-space-b3 src,u-space-b2,ybtn,js-maybe-later-button,chiclet-link href,tooltip,photo-count,icon_svg href 13,photo-count 2,is-elite,is-elite href,review-tags_item,icon_svg href 14
https://www.yelp.com/user_details?userid=8q6vJuhgs4e8jf5FkSMybA,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_styleguide/514f6997a318/assets/img/default_avatars/user_60_square.png,Jin L.,"Manhattan, New York, NY",0,review,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.yelp.com/user_details?userid=Vc7jAbfkO-duP9de9k_xNw,https://s3-media1.fl.yelpcdn.com/photo/LXCRr316DzKi6r_ZvrGdcA/60s.jpg,Claudia F.,"Manhattan, NY",346,reviews,3,https://www.yelp.com/biz_share/DioXmDrGN53JhR3lsTlxqg/review/WY0aq8jbqLpUu4Yr0OVPag,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=WY0aq8jbqLpUu4Yr0OVPag&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe&user_id=Vc7jAbfkO-duP9de9k_xNw,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=Vc7jAbfkO-duP9de9k_xNw&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=Vc7jAbfkO-duP9de9k_xNw&previous_url=https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,Follow Claudia F.,https://www.yelp.com/following_user/remove?dst_user_id=Vc7jAbfkO-duP9de9k_xNw&previous_url=https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,Stop following Claudia F.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/19/2018,"Harper Café is arguably the best coffee shop in Hyde Park. They play some of the best music I've ever heard and conversing with their baristas makes me feel very sophisticated. I'm a big fan of their London Fog--who knew that I'd find a little slice of London, UK in Chicago, US :-) !!If you're feeling hungry, check out their vegan food options. So delightful!!",voted for this review,Juhi G. and 1 other,javascript:;,Useful,1,Funny,1,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DioXmDrGN53JhR3lsTlxqg&flag_id=WY0aq8jbqLpUu4Yr0OVPag&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe,Report review,,,,,,,
https://www.yelp.com/user_details?userid=V99cDkalColVq5ty34GTVg,https://s3-media3.fl.yelpcdn.com/photo/LolGJC88xtfRE-qzNh8PvQ/60s.jpg,Juhi G.,"San Francisco, CA",108,reviews,27,https://www.yelp.com/biz_share/DioXmDrGN53JhR3lsTlxqg/review/MlFBkMpY1rQ2poZPDHBX3w,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=MlFBkMpY1rQ2poZPDHBX3w&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe&user_id=V99cDkalColVq5ty34GTVg,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=V99cDkalColVq5ty34GTVg&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=V99cDkalColVq5ty34GTVg&previous_url=https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,Follow Juhi G.,https://www.yelp.com/following_user/remove?dst_user_id=V99cDkalColVq5ty34GTVg&previous_url=https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,Stop following Juhi G.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,11/19/2018,"I love Harper Café! It is so conveniently located and always poppin'. The baristas are consistently the hottest on campus. Especially Ori- ask for him next time you want a lil somethin special with your drink! All the baristas are skilled at making complex drinks, such as a double shot marshmallow fluff latte or the standard Americano. The cookies, however, could use some improvement. Dont get - the sea salt bagel or the pumpkin choc chip muffin. Do get - peppermint mocha and some great tunes from the stereo.",Was this review …?,,,Useful,,Funny,,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DioXmDrGN53JhR3lsTlxqg&flag_id=MlFBkMpY1rQ2poZPDHBX3w&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe,Report review,photos,[object Object],57,,,,
https://www.yelp.com/user_details?userid=HmRe_yt8Pqe9ZIVG4oR_kQ,https://s3-media3.fl.yelpcdn.com/photo/Mz7RMKlLowHsFy_n8N9xLQ/60s.jpg,Sam W.,"Chicago, IL",329,reviews,73,https://www.yelp.com/biz_share/DioXmDrGN53JhR3lsTlxqg/review/16z8DW8uK9QwQD5DVR2FXQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=16z8DW8uK9QwQD5DVR2FXQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe&user_id=HmRe_yt8Pqe9ZIVG4oR_kQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=HmRe_yt8Pqe9ZIVG4oR_kQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=HmRe_yt8Pqe9ZIVG4oR_kQ&previous_url=https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,Follow Sam W.,https://www.yelp.com/following_user/remove?dst_user_id=HmRe_yt8Pqe9ZIVG4oR_kQ&previous_url=https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,Stop following Sam W.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,4/21/2016,"Great cafe with a good variety of items for a college cafe. Located right outside of the Harper Memorial Library on the 3rd floor and provides drinks, refrigerated food boxes from local restaurants (The Nile, Rajun Cajun, Thai, etc) to microwave, and baked goods. Grabbed an earl grey tea. It was a very good loose leaf tea, can definitely taste the fragrance of the leaves (if that makes sense). I also got some noodles ($6.50) and it was pretty tasty.Great price point and love the fact they are open late so there's no need to leave the library when you need to get some studying done. All prices shown are inclusive of tax.",voted for this review,Nini K. and 1 other,javascript:;,Useful,2,Funny,,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DioXmDrGN53JhR3lsTlxqg&flag_id=16z8DW8uK9QwQD5DVR2FXQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe,Report review,photos,[object Object],409,Elite ’18,https://www.yelp.com/elite,1 check-in,[object Object]
https://www.yelp.com/user_details?userid=ulg95UgmRb_AFo6RAN40xQ,https://s3-media2.fl.yelpcdn.com/photo/dLylxB6RQr0s_yzpo1MU8g/60s.jpg,Rachel B.,"San Francisco, CA",75,reviews,6,https://www.yelp.com/biz_share/DioXmDrGN53JhR3lsTlxqg/review/088os4TmbP8ycuOJ43v1_g,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=088os4TmbP8ycuOJ43v1_g&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe&user_id=ulg95UgmRb_AFo6RAN40xQ,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=ulg95UgmRb_AFo6RAN40xQ&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=ulg95UgmRb_AFo6RAN40xQ&previous_url=https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,Follow Rachel B.,https://www.yelp.com/following_user/remove?dst_user_id=ulg95UgmRb_AFo6RAN40xQ&previous_url=https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,Stop following Rachel B.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,12/16/2017,Damn those baristas are fine. Also what's with all the cute girls without shoes there?,Was this review …?,,,Useful,,Funny,,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DioXmDrGN53JhR3lsTlxqg&flag_id=088os4TmbP8ycuOJ43v1_g&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe,Report review,,,,,,,
https://www.yelp.com/user_details?userid=3_AObXkZ04suE-cJU-PuLA,https://s3-media3.fl.yelpcdn.com/photo/OtZ7s-6wC-z6NOancal8KQ/60s.jpg,Ricky N.,"Chicago, IL",512,reviews,5,https://www.yelp.com/biz_share/DioXmDrGN53JhR3lsTlxqg/review/TMsMjfdRtrzmNiE32zDpVQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=TMsMjfdRtrzmNiE32zDpVQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe&user_id=3_AObXkZ04suE-cJU-PuLA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=3_AObXkZ04suE-cJU-PuLA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=3_AObXkZ04suE-cJU-PuLA&previous_url=https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,Follow Ricky N.,https://www.yelp.com/following_user/remove?dst_user_id=3_AObXkZ04suE-cJU-PuLA&previous_url=https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,Stop following Ricky N.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,9/20/2017,"As a college student, Harper Café is my go-to coffee shop and community space. Friendly baristas, (usually) good music, right next to library, and a surprising variety of food. My favorite drink is their cappuccino, and they even have their own coffee blend (""Common Knowledge""). I recommend this place to my friends and family all the time, and it's a place I'll be coming back to for a while.",voted for this review,Eli T.,javascript:;,Useful,,Funny,1,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DioXmDrGN53JhR3lsTlxqg&flag_id=TMsMjfdRtrzmNiE32zDpVQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe,Report review,,,,,,,
https://www.yelp.com/user_details?userid=TpbLY_Cyn_gCXljSQHpSSA,https://s3-media4.fl.yelpcdn.com/photo/O1UdDC8pEcP4k11ozKijsw/60s.jpg,Keeka K.,"Kansas City, KS",35,reviews,335,https://www.yelp.com/biz_share/DioXmDrGN53JhR3lsTlxqg/review/IxQ-MfXcoaEu0y8OaTcvSQ,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=IxQ-MfXcoaEu0y8OaTcvSQ&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe&user_id=TpbLY_Cyn_gCXljSQHpSSA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=TpbLY_Cyn_gCXljSQHpSSA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=TpbLY_Cyn_gCXljSQHpSSA&previous_url=https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,Follow Keeka K.,https://www.yelp.com/following_user/remove?dst_user_id=TpbLY_Cyn_gCXljSQHpSSA&previous_url=https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,Stop following Keeka K.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,3/20/2015,"Harper library is right next door, so Harper Cafe is automatically awesome by its proximity alone. I must echo the previous comment in that this cafe gives off the epitome of a hipster vibe; being a hipster seems like a requirement to work here. I won't hold it against them though (it is a college library cafe after all, and it really just creates a sense of whimsicalness).The tea is pretty great, made from tea leaves, not tea bags. There are big comfy chairs (though they're always occupied in the daytime). They have a good option of prepared foods in their fridge (from Rajun Cajun, Siam Thai, The Nile, etc.) and a wide selection of baked goods. All reasonably priced. Basically a very well-stocked library cafe, making it really easy to literally hibernate 24/7 at Harper library when you're studying. Harper Cafe makes leaving the building unnecessary .",1 person voted for this review,,,Useful,1,Funny,1,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DioXmDrGN53JhR3lsTlxqg&flag_id=IxQ-MfXcoaEu0y8OaTcvSQ&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe,Report review,photos,[object Object],71,Elite ’18,https://www.yelp.com/elite,,
https://www.yelp.com/user_details?userid=5cEeiFZxdTHZsf5ayo_YVA,https://s3-media4.fl.yelpcdn.com/photo/z4u6e379gWqWBjGKKgRxFw/60s.jpg,Maggi K.,"Skokie, IL",78,reviews,48,https://www.yelp.com/biz_share/DioXmDrGN53JhR3lsTlxqg/review/R2_uGYRQAY43KmnAD0S9gw,[object Object],Share review,javascript:;,Embed review,https://www.yelp.com/thanx?complimentable_id=R2_uGYRQAY43KmnAD0S9gw&complimentable_type=REVIEW&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe&user_id=5cEeiFZxdTHZsf5ayo_YVA,Compliment,https://www.yelp.com/mail?action_send_form=1&dst=5cEeiFZxdTHZsf5ayo_YVA&return_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe,Send message,https://www.yelp.com/following_user/add?dst_user_id=5cEeiFZxdTHZsf5ayo_YVA&previous_url=https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,Follow Maggi K.,https://www.yelp.com/following_user/remove?dst_user_id=5cEeiFZxdTHZsf5ayo_YVA&previous_url=https://www.yelp.com/biz/harper-cafe-chicago?osq=cafe,Stop following Maggi K.,https://s3-media2.fl.yelpcdn.com/assets/srv0/yelp_design_web/9b34e39ccbeb/assets/img/stars/stars.png,3/13/2015,"Harper cafe is such a hipster cafe. They have a fridge full of food from different hyde park restaurants like the Nile, and B'Gabs Goodies. Their coffee is meh but after 12, they give it out for free. They also have some pretty tasty desserts; they have a giant Oreo... It's great. I absolutely love the atmosphere and the music they play! All of their employees are super super nice. In addition to all that, their tea selection is on point!",3 people voted for this review,,,Useful,3,Funny,1,Cool,Others will see how you vote!,https://s3-media3.fl.yelpcdn.com/assets/srv0/yelp_deanonymize_ufc/f871a0ff7872/lib/img/200x120_ufc_globe.png,"Heads up: From now on, other Yelpers will be able to see how you voted. Want to chime in?","Yes, Let Me Vote!",Maybe Later,https://www.yelp.com/flag_content?biz_id=DioXmDrGN53JhR3lsTlxqg&flag_id=R2_uGYRQAY43KmnAD0S9gw&flag_type=review&previous_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fharper-cafe-chicago%3Fosq%3Dcafe,Report review,photos,[object Object],164,,,11 check-ins,[object Object]
