WORDS
the
be
to
of
and
a
in
that
have
I
it
for
not
on
with
he
as
you
do
at
this
but
his
by
from
they
we
say
her
she
or
an
will
my
one
all
would
there
their
what
so
up
out
if
about
who
get
which
go
me
when
make
can
like
time
no
just
him
know
take
people
into
year
your
good
some
could
them
see
other
than
then
now
look
only
come
its
over
think
also
back
after
use
two
how
our
work
first
well
way
even
new
want
because
any
these
give
day
most
us
are
again
got
had
has
here
i
too
was
while
been
it's
said
i'd
is
i'm
i've
were
came
really
lot
tried
don't
more
try
always
very
NUM
yelp
-star
table
tasted
event
t-shirt
sooooo
sooo
utensil
perk
someplace
b/c
anyhow
waitress
market
yelpers
restroom
coffee/espresso
true
picture
overpriced
