WORDS
didn
=
w/
s/
~
hadn
gon
aren
isn
wasn
couldn
doesn
wouldn
shouldn
weren
hasn
;
ain
-the
you're
're
's
n't
'll
-
'
am-
[
]
--
and/or
_
's/
/
:
