WORDS
espresso
coffee
latte
food
pastry
bakery
art
music
take-out
quick
meeting
studying
work
co-working
office
museum
apartment
CBD
downtown
WiFi
laptop
tables
outlets
fitness
workout
commute
walk
subway
transit
bus
colleague
tourist
