WORDS
espresso
latte
mocha
nutella
coffee
food
donut
bagel
burrito
avocado
pancake
omelet
doughnut
macaroon
decaf
hazelnut
pickle
oatmeal
bun
muffin
cheddar
salty
omelette
brownie
waiter
grapefruit
coffee/tea
coffe
pecan
lemonade
coffee-
waffle
sugary
pretzel
marshmallow
cupcake
blueberry
milkshake
cheeseburger
salted
spiced
savory
chewy
smoothie
scrambled
stale
disgusting
tasteless
deliciously
